Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2012:Q1,TopPt1,7646664,957427,629185,328242,6689237,649010,175504,1015148,734887,280261,165569,145356,20213,2882692,115087,21442,78076,107945,1455003,23762,99108,97698,47072,12826,13001,24799,1410,7547556,120068,
2012:Q1,RemainingTop1,12209131,2165101,1852453,312648,10044030,1026663,345386,954849,673092,281756,509324,479185,30139,3580348,222791,165921,589381,836821,1752843,59703,501482,496747,335732,53047,13395,94572,4735,11707649,1077253,
2012:Q1,Next9,28367434,6489493,5496737,992757,21877941,2730301,697719,1325993,960815,365178,272707,223614,49093,5010957,417135,939326,1940670,5935102,2385247,222784,2462423,2454040,2056256,206634,24866,166284,8384,25905011,10786381,
2012:Q1,Next40,25066454,9423356,7482752,1940605,15643097,2375216,351294,658079,421420,236658,75382,46016,29365,1875270,519441,558368,1977277,5611305,1179946,461520,5235887,5225636,4198450,899246,32317,95623,10251,19830567,47934248,
2012:Q1,Bottom50,5086947,3580442,2475778,1104664,1506505,331281,21683,38247,26751,11496,4606,525,4081,105155,118032,28607,298970,219040,147783,193100,4809303,4806844,3048803,1573288,67585,117167,2460,277644,59939571,
2012:Q2,TopPt1,7675165,972077,642633,329444,6703088,653054,160786,1071365,807762,263603,170938,150064,20875,2782162,112834,19873,79121,96105,1533130,23720,95098,93526,44689,13023,12109,23705,1573,7580067,120448,
2012:Q2,RemainingTop1,12159644,2199021,1878352,320669,9960623,1030955,339675,1000667,731046,269620,500713,470847,29866,3442079,225684,171073,578198,848965,1762693,59922,498881,493369,334414,50238,11505,97213,5512,11660763,1081432,
2012:Q2,Next9,28333588,6536776,5539352,997424,21796811,2713468,684995,1415684,1062659,353025,289671,243845,45826,4843884,410319,901754,1884271,5968348,2463065,221352,2468595,2459630,2055369,212549,24456,167256,8964,25864993,10827463,
2012:Q2,Next40,25129457,9473270,7537584,1935686,15656188,2377886,338342,677690,457745,219944,78769,50444,28325,1852836,506949,554172,1972763,5649490,1184653,462639,5250673,5240182,4204819,915182,30987,89193,10491,19878785,48114513,
2012:Q2,Bottom50,5115821,3629819,2524078,1105740,1486003,332641,20971,37720,26892,10829,4805,485,4319,98712,116109,28996,290994,220696,142648,191711,4765183,4762613,2979449,1599476,70613,113076,2569,350638,60168234,
2012:Q3,TopPt1,8030422,988092,653943,334149,7042330,660074,166391,1081521,776008,305513,171570,150103,21467,3003099,114570,16245,84395,83986,1636695,23783,90364,88764,41671,13035,11236,22822,1600,7940058,120833,
2012:Q3,RemainingTop1,12520597,2243815,1915648,328167,10276781,1038600,354576,1033724,721503,312221,495221,465588,29633,3636089,235941,177995,593857,863645,1786807,60326,502016,496276,338796,47392,9658,100429,5740,12018581,1085657,
2012:Q3,Next9,28960463,6601062,5601851,999212,22359401,2702212,708268,1439318,1057626,381691,294669,251680,42989,5127304,414957,929429,1931835,6023636,2567057,220715,2467433,2458330,2042910,218442,24109,172869,9103,26493030,10869015,
2012:Q3,Next40,25590637,9586024,7654685,1931339,16004612,2387940,341506,710680,451688,258992,78759,51333,27426,1956909,503723,564282,2093723,5704344,1197053,465694,5270562,5260073,4211378,932997,29750,85948,10489,20320074,48296936,
2012:Q3,Bottom50,5144509,3641395,2533654,1107740,1503114,335269,21526,39278,26547,12731,4909,371,4538,106215,116252,29193,298798,223118,137380,191175,4759595,4757008,2931672,1638587,73783,112966,2587,384914,60399389,
2012:Q4,TopPt1,8137519,1005459,661723,343736,7132061,697914,183454,1024035,764659,259376,176873,154948,21925,3037991,115835,13197,87428,71861,1699283,24192,87684,86414,40594,14025,10439,21356,1270,8049835,121219,
2012:Q4,RemainingTop1,12615557,2286303,1950854,335448,10329254,1080936,381564,996867,725032,271835,487772,458446,29326,3636087,245382,184446,594078,877305,1783476,61340,486664,482149,327509,44503,7985,102152,4515,12128893,1089866,
2012:Q4,Next9,29241051,6655483,5654807,1000675,22585568,2755192,752570,1422665,1073626,349040,311804,271505,40299,5148535,418227,938326,1918944,6069210,2627372,222722,2497286,2489211,2070250,228878,24040,166044,8075,26743765,10910431,
2012:Q4,Next40,25885849,9680028,7746618,1933410,16205821,2476219,353803,668232,453842,214390,82237,55709,26527,1988275,499326,570299,2146075,5751986,1194236,475133,5303246,5293399,4230587,959864,28917,74031,9847,20582604,48478953,
2012:Q4,Bottom50,5149025,3634043,2519872,1114171,1514982,351146,22808,37019,26261,10758,5057,339,4718,105561,116140,29447,297460,225208,131652,193483,4683400,4681038,2835646,1665636,77667,102090,2362,465625,60629650,
2013:Q1,TopPt1,8598126,1045708,682406,363302,7552418,711048,163402,943417,717625,225792,172219,149502,22717,3495739,117526,9120,94127,58462,1763002,24358,79464,78112,35493,12283,9611,20726,1352,8518662,121603,
2013:Q1,RemainingTop1,13139229,2360463,2019553,340910,10778767,1095197,368906,945850,703827,242023,485752,456167,29586,4069944,255651,191798,616844,907559,1779341,61924,505532,500567,347840,40566,6242,105920,4965,12633697,1094002,
2013:Q1,Next9,30286769,6802302,5810028,992274,23484467,2754095,728203,1370094,1048894,321200,303540,264608,38932,5757312,422700,979755,1994194,6263397,2688338,222839,2447730,2439338,2015927,222684,23916,176812,8392,27839039,10951105,
2013:Q1,Next40,26558183,9867297,7932568,1934730,16690886,2500751,336881,623083,440477,182605,78787,52489,26298,2182429,495841,583465,2307538,5911161,1190875,480075,5280696,5270755,4222610,945677,27990,74478,9941,21277487,48658001,
2013:Q1,Bottom50,5168872,3619891,2498017,1121875,1548981,356326,21730,35182,25841,9341,5134,145,4990,123350,116236,29605,309501,232442,125710,193766,4716117,4713701,2833122,1692563,81501,106514,2417,452755,60855634,
2013:Q2,TopPt1,8702241,1079251,711886,367365,7622989,725174,152250,798419,640065,158354,184511,161111,23399,3562451,118373,6137,97375,44207,1909461,24632,75991,74474,33133,12446,8946,19949,1517,8626249,121980,
2013:Q2,RemainingTop1,13207540,2428839,2080595,348245,10778701,1110391,364782,834470,658068,176402,476986,447227,29759,4099416,264401,198205,616599,927041,1823714,62695,504698,498941,347264,37480,4923,109273,5757,12702842,1098003,
2013:Q2,Next9,30718172,6950656,5958184,992472,23767516,2753586,718610,1237757,983499,254258,338701,301151,37551,5819336,424703,985739,1978923,6452083,2834314,223763,2467391,2458409,2019758,229976,24638,184037,8982,28250781,10990433,
2013:Q2,Next40,26952482,10054657,8127752,1926905,16897824,2527159,326638,533681,411723,121958,87697,61680,26017,2225716,490278,588826,2363466,6053683,1213684,486996,5314529,5304346,4239650,963934,28250,72512,10183,21637952,48831516,
2013:Q2,Bottom50,5236414,3683090,2561257,1121833,1553323,361875,21182,31586,25117,6469,5451,224,5228,123990,115874,29864,307846,241092,119643,194922,4688806,4686278,2774257,1716357,87758,107906,2528,547608,61073955,
2013:Q3,TopPt1,9067051,1094386,732428,361957,7972665,745114,153474,757680,616497,141183,182060,158046,24014,3791617,120742,1945,103710,29736,2061563,25024,71796,70381,30974,12735,7787,18885,1415,8995255,122347,26594246
2013:Q3,RemainingTop1,13588593,2506636,2149151,357485,11081957,1131862,374219,810698,650518,160180,474303,444407,29896,4293854,275971,205656,634945,948029,1868750,63669,501241,495785,347203,34316,2358,111908,5456,13087352,1101811,7564397
2013:Q3,Next9,31577136,7063802,6060369,1003434,24513334,2763469,732773,1213551,980131,233420,335989,299749,36240,6104760,431038,1029994,2036908,6654814,2984469,225568,2488120,2479427,2033414,237383,23030,185600,8693,29089016,11027808,1373099
2013:Q3,Next40,27662040,10296353,8374492,1921860,17365687,2567512,326688,513851,406947,106904,85855,60118,25737,2330462,488162,602578,2511495,6206545,1236463,496078,5362116,5352173,4274606,985799,25211,66556,9943,22299925,48996935,114520
2013:Q3,Bottom50,5341413,3758348,2636622,1121726,1583065,369851,21446,30505,24734,5771,5518,75,5443,131711,116281,30009,317305,250239,113166,197034,4686809,4684353,2732384,1760064,87529,104375,2456,654604,61281229,
2013:Q4,TopPt1,9353809,1114979,746372,368607,8238831,753136,155356,699009,555731,143279,191766,168365,23401,4037558,120406,1776,114211,33108,2107073,25431,76355,74878,32052,13268,8352,21206,1477,9277454,122702,
2013:Q4,RemainingTop1,14011708,2542101,2185905,356195,11469607,1174330,370979,779136,616076,163060,461091,432487,28603,4584997,275554,197262,672068,934988,1954081,65121,521581,515870,356547,38775,4822,115725,5711,13490127,1105379,
2013:Q4,Next9,32470467,7167864,6170196,997667,25302603,2789425,738942,1163755,924296,239459,363868,326178,37691,6421340,437503,1095305,2176166,6904767,2980656,230877,2525915,2516875,2018361,244072,25097,229344,9041,29944551,11062761,
2013:Q4,Next40,28224179,10494049,8560195,1933854,17730130,2567417,335112,499055,390118,108937,90878,65979,24899,2403009,498616,614670,2624063,6340287,1248597,508426,5453716,5443419,4297837,1017711,29341,98530,10298,22770462,49152259,
2013:Q4,Bottom50,5361831,3746125,2625114,1121011,1615707,370926,21351,30395,24478,5916,5224,289,4935,139078,117909,29514,332002,252758,114560,201990,4708414,4705868,2692327,1776641,93684,143217,2545,653417,61474833,
2014:Q1,TopPt1,9685400,1144316,759727,384590,8541084,780321,153924,696790,557191,139599,205804,183064,22741,4302234,119575,2740,120973,37495,2095969,25258,78280,76753,33578,13143,8478,21553,1527,9607120,123044,
2014:Q1,RemainingTop1,14448511,2593470,2240633,352837,11855040,1237920,363788,791081,631257,159825,444087,416811,27276,4894843,274192,187703,686130,906269,2003485,65543,529831,523913,361481,41611,6184,114637,5918,13918680,1108712,
